Branche,Shop_ID,Snaphot_Date
CE,20058,2021-12-09
CE,212680,2021-12-09
CE,21308,2022-06-20
CE,22539,2022-03-02
CE,23604,2022-06-20
CE,24817,2022-03-02
CE,25658,2022-03-02
CE,26673,2022-03-02
CE,272802,2021-12-09
CE,272879,2022-03-02
CE,272883,2021-12-09
CE,275886,2022-06-20
CE,276963,2022-03-02
CE,281163,2022-06-20
CE,282883,2021-12-09
CE,285310,2021-12-09
CE,285310,2022-06-20
CE,286862,2022-04-07
CE,287116,2022-03-02
CE,287544,2022-03-02
CE,288210,2022-03-02
CE,288269,2021-12-09
CE,288442,2022-06-20
CE,289830,2021-12-09
CE,291703,2022-06-20
CE,292392,2021-12-09
CE,294370,2021-12-09
CE,296767,2021-12-09
CE,297751,2021-12-09
CE,297949,2021-12-09
CE,298193,2022-03-02
CE,298359,2022-04-07
CE,298782,2021-12-09
CE,299955,2022-03-02
CE,300529,2022-04-07
CE,301609,2022-06-20
CE,302459,2022-06-20
CE,304416,2022-04-07
CE,307473,2022-04-07
CE,311253,2021-12-09
CE,311979,2022-03-02
CE,314521,2022-03-02
CE,314774,2022-06-20
CE,315233,2022-04-07
CE,315876,2021-12-09
CE,316022,2022-06-20
CE,316179,2021-12-09
CE,316241,2021-12-09
CE,316515,2022-04-07
CE,317120,2022-06-20
CE,317121,2022-06-20
CE,317238,2022-06-20
CE,317475,2022-03-02
CE,317544,2022-04-07
CE,317668,2022-03-02
CE,318326,2022-03-02
CE,318729,2022-06-20
CE,318828,2021-12-09
CE,319266,2022-06-20
CE,319291,2022-06-20
CE,319453,2021-12-09
CE,319463,2021-12-09
CE,320582,2021-12-09
CE,320968,2022-06-20
CE,321189,2022-06-20
CE,321226,2022-06-20
CE,321302,2022-03-02
CE,321361,2021-12-09
CE,321373,2022-04-07
CE,321425,2022-04-07
CE,321475,2021-12-09
CE,321477,2022-06-20
CE,321493,2021-12-09
CE,321525,2022-06-20
CE,321654,2022-03-02
CE,321842,2022-04-07
CE,321876,2022-04-07
CE,321877,2022-04-07
CE,321878,2022-04-07
CE,321879,2022-04-07
CE,321880,2022-04-07
CE,321881,2022-04-07
CE,321882,2022-04-07
CE,321883,2022-04-07
CE,321884,2022-04-07
CE,321885,2022-04-07
CE,321886,2022-04-07
CE,321887,2022-04-07
CE,322378,2021-12-09
CE,322459,2022-03-02
CE,322517,2021-12-09
CE,322785,2022-03-02
CE,322830,2021-12-09
CE,322887,2022-06-20
CE,323972,2022-03-02
CE,323982,2022-04-07
CE,324048,2021-12-09
CE,324174,2021-12-09
CE,324197,2022-03-02
CE,324210,2021-12-09
CE,324217,2021-12-09
CE,324328,2022-03-02
CE,324350,2022-03-02
CE,324432,2021-12-09
CE,324511,2022-03-02
CE,324558,2022-03-02
